id,weight
danaë,0
weaves,1
time,1
gilded,1
nile,0
wrapping,1
lips,6
passed,1
between,4
disconnected,1
flights,2
hand,4
lip,4
bird,2
snowed,1
circle,1
snow,8
opened,3
blood,2
silk,3
erased,1
perfection,1
dies,2
knees,1
zeal,1
hides,1
frolics,2
id,weight
danaë,0
weaves,1
time,1
gilded,1
nile,0
wrapping,1
lips,6
passed,1
between,4
disconnected,1
flights,2
hand,4
lip,4
bird,2
snowed,1
circle,1
snow,8
opened,3
blood,2
silk,3
erased,1
perfection,1
dies,2
knees,1
zeal,1
hides,1
frolics,2
id,weight
danaë,0
weaves,1
time,1
gilded,1
nile,0
wrapping,1
lips,6
passed,1
between,4
disconnected,1
flights,2
hand,4
lip,4
bird,2
snowed,1
circle,1
snow,8
opened,3
blood,2
silk,3
erased,1
perfection,1
dies,2
knees,1
zeal,1
hides,1
frolics,2
