id,weight
shriek,1
fruited,1
snow,8
secret,2
geranium,1
transformed,2
whiteness,2
silk,3
ascending,3
spilled,2
lip,4
opens,1
amnesia,1
islands,4
sword,1
eyelashes,1
come,2
give+way,1
sleep,2
yield,1
mirror,13
littoral,1
impure,1
earth,3
stone,2
moist,1
lips,6
NEG,13
shell,3
looks,2
uncurving,4
thread,1
slaves,1
profile,2
dry,3
velamen,2
air,6
bites,1
litmus,2
changes,1
sound,5
golden,2
salty,1
lime,1
death,3
IF,0
crosses,1
waters,2
agitate,2
ear,4
boil,1
sits,1
fringe,1
forehead,4
centurion,1
pulses,1
side,1
declaims,1
letters,1
dream,2
penetrate,2
gaze,3
wrinkle,2
wave,2
wraps,1
albino,1
harpooned,1
skin,1
colored,1
shadow,1
memory,1
minute,1
silence,1
now,4
pierces,1
endless,2
flames,3
drizzled,1
leaves,3
stream,0
uncreated,1
bees,2
bite,1
wake,1
ask,2
flank,1
verified,1
speechless,1
narcissus,0
high,1
tide,1
fled,1
wingless,1
